DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Antar tanpa bertemu,Alkohol,Sarapan,Cocok untuk anak-anak,Nyaman,Berkelompok,Menerima reservasi,Kartu debit,-,-
,Pesan antar,Bir,Brunch,Toilet,Santai,,,Kartu kredit,,
,Bawa pulang,Kopi,Makan siang,,,,,,,
,Makan di tempat,Makanan halal,Makan malam,,,,,,,
,,Menu untuk anak-anak,Hidangan penutup,,,,,,,
